date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2012-09-18,20.45,Paris Saint-Germain,Dinamo Kiev,4,1,Group A,4-1,(3-0),CL,Champions League,2012
2012-09-18,,Dinamo Zagreb,FC Porto,0,2,Group A,0-2,(0-1),CL,Champions League,2012
2012-10-03,20.45,FC Porto,Paris Saint-Germain,1,0,Group A,1-0,(0-0),CL,Champions League,2012
2012-10-03,,Dinamo Kiev,Dinamo Zagreb,2,0,Group A,2-0,(2-0),CL,Champions League,2012
2012-10-24,20.45,FC Porto,Dinamo Kiev,3,2,Group A,3-2,(2-1),CL,Champions League,2012
2012-10-24,,Dinamo Zagreb,Paris Saint-Germain,0,2,Group A,0-2,(0-2),CL,Champions League,2012
2012-11-06,20.45,Dinamo Kiev,FC Porto,0,0,Group A,0-0,,CL,Champions League,2012
2012-11-06,,Paris Saint-Germain,Dinamo Zagreb,4,0,Group A,4-0,(1-0),CL,Champions League,2012
2012-11-21,20.45,Dinamo Kiev,Paris Saint-Germain,0,2,Group A,0-2,(0-1),CL,Champions League,2012
2012-11-21,,FC Porto,Dinamo Zagreb,3,0,Group A,3-0,(1-0),CL,Champions League,2012
2012-12-04,20.45,Paris Saint-Germain,FC Porto,2,1,Group A,2-1,(1-1),CL,Champions League,2012
2012-12-04,,Dinamo Zagreb,Dinamo Kiev,1,1,Group A,1-1,(0-1),CL,Champions League,2012
2012-09-18,20.45,Olympiakos Piraeus,FC Schalke 04,1,2,Group B,1-2,(0-1),CL,Champions League,2012
2012-09-18,,Montpellier HSC,Arsenal FC,1,2,Group B,1-2,(1-2),CL,Champions League,2012
2012-10-03,20.45,Arsenal FC,Olympiakos Piraeus,3,1,Group B,3-1,(1-1),CL,Champions League,2012
2012-10-03,,FC Schalke 04,Montpellier HSC,2,2,Group B,2-2,(1-1),CL,Champions League,2012
2012-10-24,20.45,Arsenal FC,FC Schalke 04,0,2,Group B,0-2,(0-0),CL,Champions League,2012
2012-10-24,,Montpellier HSC,Olympiakos Piraeus,1,2,Group B,1-2,(0-0),CL,Champions League,2012
2012-11-06,20.45,FC Schalke 04,Arsenal FC,2,2,Group B,2-2,(1-2),CL,Champions League,2012
2012-11-06,,Olympiakos Piraeus,Montpellier HSC,3,1,Group B,3-1,(1-0),CL,Champions League,2012
2012-11-21,20.45,FC Schalke 04,Olympiakos Piraeus,1,0,Group B,1-0,(0-0),CL,Champions League,2012
2012-11-21,,Arsenal FC,Montpellier HSC,2,0,Group B,2-0,(0-0),CL,Champions League,2012
2012-12-04,20.45,Olympiakos Piraeus,Arsenal FC,2,1,Group B,2-1,(0-1),CL,Champions League,2012
2012-12-04,,Montpellier HSC,FC Schalke 04,1,1,Group B,1-1,(0-0),CL,Champions League,2012
2012-09-18,20.45,AC Milan,RSC Anderlecht,0,0,Group C,0-0,,CL,Champions League,2012
2012-09-18,,Málaga CF,Zenit St. Petersburg,3,0,Group C,3-0,(2-0),CL,Champions League,2012
2012-10-03,18.00,Zenit St. Petersburg,AC Milan,2,3,Group C,2-3,(1-2),CL,Champions League,2012
2012-10-03,20.45,RSC Anderlecht,Málaga CF,0,3,Group C,0-3,(0-1),CL,Champions League,2012
2012-10-24,18.00,Zenit St. Petersburg,RSC Anderlecht,1,0,Group C,1-0,(0-0),CL,Champions League,2012
2012-10-24,20.45,Málaga CF,AC Milan,1,0,Group C,1-0,(0-0),CL,Champions League,2012
2012-11-06,20.45,RSC Anderlecht,Zenit St. Petersburg,1,0,Group C,1-0,(1-0),CL,Champions League,2012
