date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2023-09-21,21.00,Olympiakos Piraeus,SC Freiburg,2,3,Group A,2-3,(1-2),EL,Europa League,2023
2023-09-21,,West Ham United,TSC Bačka Topola,3,1,Group A,3-1,(0-0),EL,Europa League,2023
2023-10-05,18.45,SC Freiburg,West Ham United,1,2,Group A,1-2,(0-1),EL,Europa League,2023
2023-10-05,,TSC Bačka Topola,Olympiakos Piraeus,2,2,Group A,2-2,(0-1),EL,Europa League,2023
2023-10-26,18.45,Olympiakos Piraeus,West Ham United,2,1,Group A,2-1,(2-0),EL,Europa League,2023
2023-10-26,,TSC Bačka Topola,SC Freiburg,1,3,Group A,1-3,(1-0),EL,Europa League,2023
2023-11-09,21.00,SC Freiburg,TSC Bačka Topola,5,0,Group A,5-0,(1-0),EL,Europa League,2023
2023-11-09,,West Ham United,Olympiakos Piraeus,1,0,Group A,1-0,(0-0),EL,Europa League,2023
2023-11-30,18.45,SC Freiburg,Olympiakos Piraeus,5,0,Group A,5-0,(4-0),EL,Europa League,2023
2023-11-30,,TSC Bačka Topola,West Ham United,0,1,Group A,0-1,(0-0),EL,Europa League,2023
2023-12-14,21.00,Olympiakos Piraeus,TSC Bačka Topola,5,2,Group A,5-2,(3-0),EL,Europa League,2023
2023-12-14,,West Ham United,SC Freiburg,2,0,Group A,2-0,(2-0),EL,Europa League,2023
2023-09-21,21.00,AFC Ajax,Olympique Marseille,3,3,Group B,3-3,(2-2),EL,Europa League,2023
2023-09-21,,Brighton & Hove Albion,AEK Athen,2,3,Group B,2-3,(1-2),EL,Europa League,2023
2023-10-05,18.45,AEK Athen,AFC Ajax,1,1,Group B,1-1,(0-1),EL,Europa League,2023
2023-10-05,,Olympique Marseille,Brighton & Hove Albion,2,2,Group B,2-2,(2-0),EL,Europa League,2023
2023-10-26,18.45,Olympique Marseille,AEK Athen,3,1,Group B,3-1,(1-0),EL,Europa League,2023
2023-10-26,21.00,Brighton & Hove Albion,AFC Ajax,2,0,Group B,2-0,(1-0),EL,Europa League,2023
2023-11-09,18.45,AFC Ajax,Brighton & Hove Albion,0,2,Group B,0-2,(0-1),EL,Europa League,2023
2023-11-09,21.00,AEK Athen,Olympique Marseille,0,2,Group B,0-2,(0-1),EL,Europa League,2023
2023-11-30,18.45,AEK Athen,Brighton & Hove Albion,0,1,Group B,0-1,(0-0),EL,Europa League,2023
2023-11-30,21.00,Olympique Marseille,AFC Ajax,4,3,Group B,4-3,(2-2),EL,Europa League,2023
2023-12-14,21.00,AFC Ajax,AEK Athen,3,1,Group B,3-1,(2-1),EL,Europa League,2023
2023-12-14,,Brighton & Hove Albion,Olympique Marseille,1,0,Group B,1-0,(0-0),EL,Europa League,2023
